file_path,task,method_name,metric_name,metric_value,modality_setting,is_ours,is_ori_xfi_baseline,is_superteacher_exploration,supports_which_contribution,can_be_used_in_main_paper,issue_or_risk
E:\Deskbook\Tea\HAR\legacy_xfi\xfi_har_table6.csv,baseline,xfi_har_table6,xfi_acc_pct,70.7,vk+depth+mmwave,False,True,False,C1_privacy_vk;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\legacy_xfi\xfi_har_table6.csv,baseline,xfi_har_table6,xfi_acc_pct,77.8,vk+lidar+mmwave,False,True,False,C1_privacy_vk;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\legacy_xfi\xfi_har_table6.csv,baseline,xfi_har_table6,xfi_acc_pct,80.5,depth+lidar+mmwave,False,True,False,C1_privacy_vk;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\legacy_xfi\xfi_har_table6.csv,baseline,xfi_har_table6,xfi_acc_pct,72.2,vk+depth+lidar+mmwave,False,True,False,C1_privacy_vk;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_no_distill\dependencies.txt,distillation,ablation_no_distill,NA,NA,file,True,False,False,C4_distillation;C5_hpe_har_validation,no,log_or_training_trace
E:\Deskbook\Tea\HAR\outputs\ablation_no_distill\epoch_history.csv,distillation,ablation_no_distill,epoch,25.5,all_rows_mean,True,False,False,C4_distillation;C5_hpe_har_validation,no,log_or_training_trace
E:\Deskbook\Tea\HAR\outputs\ablation_no_distill\epoch_history.csv,distillation,ablation_no_distill,train_loss,5.166617400739966,all_rows_mean,True,False,False,C4_distillation;C5_hpe_har_validation,no,log_or_training_trace
E:\Deskbook\Tea\HAR\outputs\ablation_no_distill\epoch_history.csv,distillation,ablation_no_distill,best_acc,0.8807856341189675,all_rows_mean,True,False,False,C4_distillation;C5_hpe_har_validation,no,log_or_training_trace
E:\Deskbook\Tea\HAR\outputs\ablation_no_distill\epoch_history.csv,distillation,ablation_no_distill,lr,0.0001,all_rows_mean,True,False,False,C4_distillation;C5_hpe_har_validation,no,log_or_training_trace
E:\Deskbook\Tea\HAR\outputs\ablation_no_distill\epoch_history.csv,distillation,ablation_no_distill,params,8606392.0,all_rows_mean,True,False,False,C4_distillation;C5_hpe_har_validation,no,log_or_training_trace
E:\Deskbook\Tea\HAR\outputs\ablation_no_distill\experiment_info.json,distillation,ablation_no_distill,parameter_count,8606392.0,summary,True,False,False,C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_no_distill\experiment_info.json,distillation,ablation_no_distill,num_classes,27.0,summary,True,False,False,C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_no_distill\final_eval.csv,distillation,ablation_no_distill,loss,0.20892225346460686,all_rows_mean,True,False,False,C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_no_distill\final_eval.csv,distillation,ablation_no_distill,acc,0.9596583115101633,all_rows_mean,True,False,False,C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_no_distill\final_eval.csv,distillation,ablation_no_distill,macro_f1,0.9595071819204244,all_rows_mean,True,False,False,C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_no_distill\final_eval.csv,distillation,ablation_no_distill,params,8606392.0,all_rows_mean,True,False,False,C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_no_distill\final_eval.csv,distillation,ablation_no_distill,loss,0.20892225346460686,vk+depth+lidar+mmwave,True,False,False,C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_no_distill\final_eval.csv,distillation,ablation_no_distill,acc,0.9596583115101633,vk+depth+lidar+mmwave,True,False,False,C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_no_distill\final_eval.csv,distillation,ablation_no_distill,macro_f1,0.9595071819204244,vk+depth+lidar+mmwave,True,False,False,C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_no_distill\final_eval.csv,distillation,ablation_no_distill,params,8606392.0,vk+depth+lidar+mmwave,True,False,False,C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_no_distill\final_eval.md,distillation,ablation_no_distill,NA,NA,file,True,False,False,C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_no_distill\final_summary.json,distillation,ablation_no_distill,best_acc,0.9597206634243671,summary,True,False,False,C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_no_distill\final_summary.json,distillation,ablation_no_distill,final_metrics.loss,0.20892225346460686,summary,True,False,False,C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_no_distill\final_summary.json,distillation,ablation_no_distill,final_metrics.acc,0.9596583115101633,summary,True,False,False,C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_no_distill\final_summary.json,distillation,ablation_no_distill,final_metrics.macro_f1,0.9595071819204244,summary,True,False,False,C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_no_distill\training_curve.png,distillation,ablation_no_distill,figure,NA,training_curve,True,False,False,C4_distillation;C5_hpe_har_validation,no,log_or_training_trace
E:\Deskbook\Tea\HAR\outputs\ablation_uniform_fusion\dependencies.txt,reliability,ablation_uniform_fusion,NA,NA,file,True,False,False,C3_reliability_fusion;C5_hpe_har_validation,no,log_or_training_trace
E:\Deskbook\Tea\HAR\outputs\ablation_uniform_fusion\epoch_history.csv,reliability,ablation_uniform_fusion,epoch,25.5,all_rows_mean,True,False,False,C3_reliability_fusion;C5_hpe_har_validation,no,log_or_training_trace
E:\Deskbook\Tea\HAR\outputs\ablation_uniform_fusion\epoch_history.csv,reliability,ablation_uniform_fusion,train_loss,0.049642094969562615,all_rows_mean,True,False,False,C3_reliability_fusion;C5_hpe_har_validation,no,log_or_training_trace
E:\Deskbook\Tea\HAR\outputs\ablation_uniform_fusion\epoch_history.csv,reliability,ablation_uniform_fusion,best_acc,0.8775651577503428,all_rows_mean,True,False,False,C3_reliability_fusion;C5_hpe_har_validation,no,log_or_training_trace
E:\Deskbook\Tea\HAR\outputs\ablation_uniform_fusion\epoch_history.csv,reliability,ablation_uniform_fusion,lr,0.0001,all_rows_mean,True,False,False,C3_reliability_fusion;C5_hpe_har_validation,no,log_or_training_trace
E:\Deskbook\Tea\HAR\outputs\ablation_uniform_fusion\epoch_history.csv,reliability,ablation_uniform_fusion,params,8606392.0,all_rows_mean,True,False,False,C3_reliability_fusion;C5_hpe_har_validation,no,log_or_training_trace
E:\Deskbook\Tea\HAR\outputs\ablation_uniform_fusion\experiment_info.json,reliability,ablation_uniform_fusion,parameter_count,8606392.0,summary,True,False,False,C3_reliability_fusion;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_uniform_fusion\experiment_info.json,reliability,ablation_uniform_fusion,num_classes,27.0,summary,True,False,False,C3_reliability_fusion;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_uniform_fusion\final_eval.csv,reliability,ablation_uniform_fusion,loss,0.1872714608298971,all_rows_mean,True,False,False,C3_reliability_fusion;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_uniform_fusion\final_eval.csv,reliability,ablation_uniform_fusion,acc,0.9540310512532735,all_rows_mean,True,False,False,C3_reliability_fusion;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_uniform_fusion\final_eval.csv,reliability,ablation_uniform_fusion,macro_f1,0.9540085797005357,all_rows_mean,True,False,False,C3_reliability_fusion;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_uniform_fusion\final_eval.csv,reliability,ablation_uniform_fusion,params,8606392.0,all_rows_mean,True,False,False,C3_reliability_fusion;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_uniform_fusion\final_eval.csv,reliability,ablation_uniform_fusion,loss,0.1872714608298971,vk+depth+lidar+mmwave,True,False,False,C3_reliability_fusion;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_uniform_fusion\final_eval.csv,reliability,ablation_uniform_fusion,acc,0.9540310512532735,vk+depth+lidar+mmwave,True,False,False,C3_reliability_fusion;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_uniform_fusion\final_eval.csv,reliability,ablation_uniform_fusion,macro_f1,0.9540085797005357,vk+depth+lidar+mmwave,True,False,False,C3_reliability_fusion;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_uniform_fusion\final_eval.csv,reliability,ablation_uniform_fusion,params,8606392.0,vk+depth+lidar+mmwave,True,False,False,C3_reliability_fusion;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_uniform_fusion\final_eval.md,reliability,ablation_uniform_fusion,NA,NA,file,True,False,False,C3_reliability_fusion;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_uniform_fusion\final_summary.json,reliability,ablation_uniform_fusion,best_acc,0.953875171467764,summary,True,False,False,C3_reliability_fusion;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_uniform_fusion\final_summary.json,reliability,ablation_uniform_fusion,final_metrics.loss,0.1872714608298971,summary,True,False,False,C3_reliability_fusion;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_uniform_fusion\final_summary.json,reliability,ablation_uniform_fusion,final_metrics.acc,0.9540310512532735,summary,True,False,False,C3_reliability_fusion;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_uniform_fusion\final_summary.json,reliability,ablation_uniform_fusion,final_metrics.macro_f1,0.9540085797005357,summary,True,False,False,C3_reliability_fusion;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\ablation_uniform_fusion\training_curve.png,reliability,ablation_uniform_fusion,figure,NA,training_curve,True,False,False,C3_reliability_fusion;C5_hpe_har_validation,no,log_or_training_trace
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,loss,0.6845534152787468,all_rows_mean,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,acc,0.8285810782724362,all_rows_mean,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,macro_f1,0.8255702389049728,all_rows_mean,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,params,8606392.0,all_rows_mean,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,loss,1.2789845950874275,vk,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,acc,0.6094276094276094,vk,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,macro_f1,0.593082757167287,vk,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,params,8606392.0,vk,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,loss,0.848678677509692,depth,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,acc,0.8684686369871555,depth,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,macro_f1,0.8677720858098977,depth,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,params,8606392.0,depth,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,loss,2.286185426478187,lidar,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,acc,0.3314471879286694,lidar,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,macro_f1,0.3110997862998993,lidar,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,params,8606392.0,lidar,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,loss,0.5908986121078758,mmwave,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,acc,0.83129130814316,mmwave,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,macro_f1,0.8330712887584811,mmwave,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,params,8606392.0,mmwave,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,loss,0.6939036768801969,vk+depth,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,acc,0.8808610799351541,vk+depth,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,macro_f1,0.8794405572970871,vk+depth,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,params,8606392.0,vk+depth,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,loss,1.1214073679610808,vk+lidar,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,acc,0.6362545205137797,vk+lidar,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,macro_f1,0.6264963336927579,vk+lidar,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,params,8606392.0,vk+lidar,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,loss,0.31175264761565835,vk+mmwave,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,acc,0.9105094151390448,vk+mmwave,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,macro_f1,0.9111626078816416,vk+mmwave,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,params,8606392.0,vk+mmwave,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,loss,0.8043322427796905,depth+lidar,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,acc,0.8724123955605437,depth+lidar,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,macro_f1,0.8724851031039166,depth+lidar,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,params,8606392.0,depth+lidar,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,loss,0.23735580691577332,depth+mmwave,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,acc,0.9556522010225714,depth+mmwave,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,macro_f1,0.9555857497244674,depth+mmwave,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,params,8606392.0,depth+mmwave,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,loss,0.4777052990755254,lidar+mmwave,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,acc,0.8592249657064472,lidar+mmwave,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,macro_f1,0.8609354270594969,lidar+mmwave,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,params,8606392.0,lidar+mmwave,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,loss,0.657073602930562,vk+depth+lidar,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,acc,0.8862233445566778,vk+depth+lidar,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,macro_f1,0.8852750354639077,vk+depth+lidar,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,params,8606392.0,vk+depth+lidar,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,loss,0.20758348467936863,vk+depth+mmwave,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,acc,0.9596427235316124,vk+depth+mmwave,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,macro_f1,0.9594879662131582,vk+depth+mmwave,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,params,8606392.0,vk+depth+mmwave,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,loss,0.30396861537113773,vk+lidar+mmwave,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,acc,0.912333208629505,vk+lidar+mmwave,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,macro_f1,0.9128881527476944,vk+lidar+mmwave,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\outputs\eval\ablation_no_distill_all_combinations.csv,distillation,ablation_no_distill,params,8606392.0,vk+lidar+mmwave,True,False,False,C2_missing_robustness;C4_distillation;C5_hpe_har_validation,yes,
